Ticker,Transaction_Score
IFF,24.105607029932564
VST,16.695267750666957
KDP,12.831358814268256
OXY,12.384992640039233
INTC,11.882941258891014
EVRG,10.658918237176437
TPL,7.221234973662967
T,6.423164009422766
WBD,6.225361564043089
VICI,6.177904781244366
KMI,6.139655199984123
GPC,4.737484822354731
CTVA,4.671073042008604
FOX,4.190934374201245
GE,3.979910301694034
OKE,3.894083039957532
LIN,3.7425700534400574
ZBH,3.480834574924197
AES,3.4352077623569897
MOS,3.0427847466558284
TFC,2.6932854986188683
DOW,2.6565889656125288
BRO,2.2882759155883647
ITW,2.1761821727797663
FAST,2.1676182154447794
PSX,1.7848063433909476
CVS,1.5829289817230636
FDX,1.557287636536091
APD,1.3777932191688271
CFG,1.272014787728993
HUM,1.1114708635769914
FCX,1.110468503639412
HAL,1.0851368485987796
GEN,0.9449867072535593
WY,0.9430964353652574
PARA,0.8536311423513324
KVUE,0.7790774299946236
TECH,0.6309377545510785
NRG,0.538408667595743
DG,0.4910917817841407
ERIE,0.38493788290772013
VTRS,0.34707169482525707
APH,0.31472378906916465
SYF,0.3111982698186897
WBA,0.2130527207961468
TDY,0.18227160607655546
EQT,0.1730013880602581
PAYX,0.1683858842847571
SNA,0.11637538077757495
SBAC,0.07454284604333558
GOOGL,0.0
TPR,-0.025953591492383632
HLT,-0.1221715016692464
WELL,-0.1872428740148624
CHD,-0.24056849919347661
KO,-0.26132550442529545
SPG,-0.26860917030868653
PNR,-0.3092431766697553
CZR,-0.3789459596048437
WRB,-0.4887610507386435
CVX,-0.5334408800542655
BALL,-0.6398873576887183
PPG,-0.7133476007836991
ADM,-0.727118049181393
AWK,-0.7597141670261108
LDOS,-0.8110873803117173
EIX,-0.8793792488048793
APA,-0.8969293090787349
CINF,-1.0078293334207369
TAP,-1.0280787945440635
TDG,-1.0591494388540776
GEHC,-1.1188795899445303
DOC,-1.1679535829155518
FE,-1.2620191234912015
MKC,-1.2932767866691048
ESS,-1.2960940968618613
ED,-1.3155476674825368
LNT,-1.3416920498920315
DE,-1.3891895077544716
NWS,-1.443106048327846
LVS,-1.4563485592724903
FIS,-1.462724958612203
TXT,-1.564084151510959
L,-1.5948555643662514
HIG,-1.608540720303695
HST,-1.6834226761867992
D,-1.9264585110872319
OTIS,-1.9597205510156517
CARR,-2.0908351959408797
BA,-2.107778238951437
COP,-2.1268922344887637
SBUX,-2.133401215296942
WMB,-2.151698657480902
PSA,-2.253337594449091
ORCL,-2.2961456905092965
VLO,-2.393345494880328
MTCH,-2.4764065961824
KKR,-2.507557147390416
F,-2.516432526807458
BAX,-2.525823888037264
MO,-2.6496351895741714
DD,-2.669411354396639
KIM,-2.675461371293811
KEY,-2.709558435362393
RTX,-2.79726796729789
GWW,-2.8312312513317925
WTW,-2.8846259361250213
MPC,-2.988899158783526
FRT,-3.0005776759363405
IBM,-3.0345568846256703
MET,-3.3177425174258435
ELV,-3.4766111108653672
PPL,-3.62447159162505
ES,-3.7891698625722183
ETN,-3.863716169598272
ECL,-4.013179378160198
VMC,-4.132361489720875
LYV,-4.195231543179534
HWM,-4.274140746575147
MLM,-4.277041032840323
WFC,-4.29825338536061
CAG,-4.464692079196575
LULU,-4.5049618299129985
MCD,-4.523815033322339
EMR,-4.714656674694497
WAT,-4.73904205413209
LOW,-4.944504428636955
IVZ,-4.9584571245188735
EXC,-4.9765210321138795
VTR,-5.0082174953511345
HUBB,-5.023421215025155
CTAS,-5.068365374943913
CDW,-5.075347635154705
CAH,-5.107489060151481
GD,-5.135866977168645
NDSN,-5.279088663188389
KMX,-5.459725935604952
AMCR,-5.482455826393738
DVA,-5.4922866866448565
WST,-5.517194787084947
ZBRA,-5.5265701768673745
ATO,-5.610708669801102
BXP,-5.722103838433156
HD,-5.7241143285546014
AIG,-5.784895703605203
BIIB,-5.7863057231248485
CNP,-5.799388476094746
CPB,-5.912090999287496
NFLX,-5.96946130538029
HBAN,-6.003038385948282
UNP,-6.008863594757594
IR,-6.206172650897483
KMB,-6.345235913158081
PNC,-6.38976734970284
CCI,-6.502270805245809
